text,label
Propantheline + Chlorpheniramine,Moderate
Chlorpheniramine + Rolapitant,Moderate
Trospium + Chlorpheniramine,Moderate
Dextromethorphan + Dexfenfluramine,Major
Dextromethorphan + Dexfenfluramine,Major
Dextromethorphan + Dolasetron,Major
Dextromethorphan + Dolasetron,Major
Dextromethorphan + Fenfluramine,Major
Dextromethorphan + Fenfluramine,Major
Dextromethorphan + Granisetron,Major
Dextromethorphan + Granisetron,Major
Dextromethorphan + Lorcaserin,Major
Dextromethorphan + Lorcaserin,Major
Dextromethorphan + Ondansetron,Major
Dextromethorphan + Ondansetron,Major
Palonosetron + Dextromethorphan,Major
Palonosetron + Dextromethorphan,Major
Dextromethorphan + Sibutramine,Major
Dextromethorphan + Sibutramine,Major
Acebutolol + Budesonide,Moderate
Epinephrine + Acebutolol,Moderate
Hydrocortisone + Acebutolol,Moderate
Prednisone + Acebutolol,Moderate
Metformin + Hydrocortisone (topical),Minor
Metformin + Hydrocortisone (topical),Minor
Acetaminophen + Atropine,Minor
Acetaminophen + Atropine,Minor
Acetaminophen + Activated charcoal,Moderate
Acetaminophen + Cimetidine,Minor
Acetaminophen + Cimetidine,Minor
Acetaminophen + Clidinium,Minor
Acetaminophen + Clidinium,Minor
Acetaminophen + Dicyclomine,Minor
Acetaminophen + Dicyclomine,Minor
Acetaminophen + Glycerol phenylbutyrate,Moderate
Acetaminophen + Glycopyrronium,Minor
Acetaminophen + Glycopyrronium,Minor
Acetaminophen + Hyoscyamine,Minor
Acetaminophen + Hyoscyamine,Minor
Acetaminophen + Liraglutide,Minor
Acetaminophen + Liraglutide,Minor
Acetaminophen + Mepenzolate,Minor
Acetaminophen + Mepenzolate,Minor
Acetaminophen + Methscopolamine,Minor
Acetaminophen + Methscopolamine,Minor
Acetaminophen + Metoclopramide,Minor
Acetaminophen + Metoclopramide,Minor
Acetaminophen + Naltrexone,Moderate
Acetaminophen + Propantheline,Minor
Acetaminophen + Propantheline,Minor
Acetaminophen + Ranitidine,Minor
Acetaminophen + Ranitidine,Minor
Acetaminophen + Ranitidine (bismuth citrate),Minor
Acetaminophen + Ranitidine (bismuth citrate),Minor
Acetaminophen + Scopolamine,Minor
Acetaminophen + Scopolamine,Minor
Trospium + Acetaminophen,Minor
Trospium + Acetaminophen,Minor
Ondansetron + Dihydrocodeine,Moderate
Codeine + Alvimopan,Major
Codeine + Alvimopan,Major
Codeine + Atropine,Moderate
Codeine + Attapulgite,Moderate
Codeine + Bupropion,Major
Codeine + Bupropion,Major
Codeine + Cimetidine,Moderate
Codeine + Clidinium,Moderate
Codeine + Dexamethasone,Moderate
Codeine + Dexfenfluramine,Moderate
Codeine + Dicyclomine,Moderate
Codeine + Dolasetron,Moderate
Codeine + Dronabinol,Moderate
Codeine + Eliglustat,Moderate
Codeine + Eluxadoline,Moderate
Codeine + Fenfluramine,Moderate
Codeine + Glycerol phenylbutyrate,Moderate
Codeine + Glycopyrronium,Moderate
Codeine + Granisetron,Moderate
Codeine + Hyoscyamine,Moderate
Codeine + Kaolin,Moderate
Codeine + Loperamide,Moderate
Codeine + Lorcaserin,Moderate
Codeine + Mepenzolate,Moderate
Codeine + Methscopolamine,Moderate
Codeine + Metoclopramide,Moderate
Morphine + Codeine,Major
Morphine + Codeine,Major
Morphine (liposomal) + Codeine,Major
Morphine (liposomal) + Codeine,Major
Codeine + Nabilone,Moderate
Codeine + Naloxone,Moderate
Codeine + Naltrexone,Major
Codeine + Naltrexone,Major
Codeine + Ondansetron,Moderate
Codeine + Opium,Moderate
Codeine + Palonosetron,Moderate
Codeine + Polyethylene glycol (3350 with electrolytes),Moderate
Codeine + Propantheline,Moderate
Codeine + Rolapitant,Moderate
Codeine + Scopolamine,Moderate
Codeine + Sibutramine,Moderate
Troglitazone + Codeine,Moderate
Trospium + Codeine,Moderate
Methylphenidate + Isometheptene,Moderate
Milnacipran + Isometheptene,Moderate
Salmeterol + Isometheptene,Moderate
Tramadol + Alvimopan,Major
Tramadol + Alvimopan,Major
Tramadol + Atropine,Moderate
Tramadol + Bisacodyl,Moderate
Tramadol + Bupropion,Major
Tramadol + Bupropion,Major
Tramadol + Castor oil,Moderate
Tramadol + Cimetidine,Moderate
Tramadol + Cisapride,Major
Tramadol + Cisapride,Major
Tramadol + Clarithromycin,Moderate
Tramadol + Clidinium,Moderate
Tramadol + Dexfenfluramine,Major
Tramadol + Dexfenfluramine,Major
Tramadol + Dicyclomine,Moderate
Tramadol + Diethylpropion,Major
Tramadol + Diethylpropion,Major
Tramadol + Dolasetron,Major
Tramadol + Dolasetron,Major
Tramadol + Dronabinol,Major
Tramadol + Dronabinol,Major
Tramadol + Eliglustat,Moderate
Tramadol + Eluxadoline,Moderate
Tramadol + Ephedrine,Major
Tramadol + Ephedrine,Major
Tramadol + Famotidine,Moderate
Tramadol + Fenfluramine,Major
Tramadol + Fenfluramine,Major
Tramadol + Glycerin,Moderate
Tramadol + Glycopyrronium,Moderate
Tramadol + Granisetron,Major
Tramadol + Granisetron,Major
Tramadol + Hyoscyamine,Moderate
Tramadol + Lactitol,Moderate
Tramadol + Lactulose,Moderate
Tramadol + Levofloxacin,Major
Tramadol + Levofloxacin,Major
Tramadol + Loperamide,Moderate
Tramadol + Lorcaserin,Major
Tramadol + Lorcaserin,Major
Tramadol + Magnesium citrate,Moderate
Tramadol + Magnesium hydroxide,Moderate
Tramadol + Mazindol,Major
Tramadol + Mazindol,Major
Tramadol + Mepenzolate,Moderate
Tramadol + Methscopolamine,Moderate
Tramadol + Metoclopramide,Major
Tramadol + Metoclopramide,Major
Tramadol + Metronidazole,Minor
Tramadol + Metronidazole,Minor
Tramadol + Mineral oil,Moderate
Tramadol + Morphine,Major
Tramadol + Morphine,Major
Tramadol + Morphine (liposomal),Major
Tramadol + Morphine (liposomal),Major
Tramadol + Nabilone,Moderate
Tramadol + Naloxone,Moderate
Tramadol + Naltrexone,Major
Tramadol + Naltrexone,Major
Tramadol + Ondansetron,Major
Tramadol + Ondansetron,Major
Tramadol + Opium,Major
Tramadol + Opium,Major
Tramadol + Palonosetron,Major
Tramadol + Palonosetron,Major
Tramadol + Papaverine,Major
Tramadol + Papaverine,Major
Tramadol + Phenolphthalein,Moderate
Phentermine + Tramadol,Major
Phentermine + Tramadol,Major
Tramadol + Polyethylene glycol (3350),Moderate
Tramadol + Polyethylene glycol (3350 with electrolytes),Moderate
Tramadol + Propantheline,Moderate
Tramadol + Rolapitant,Moderate
Tramadol + Scopolamine,Moderate
Tramadol + Sibutramine,Major
Tramadol + Sibutramine,Major
Tramadol + Trospium,Moderate
Acetazolamide + Glycerin,Moderate
Hydrocortisone + Acetazolamide,Moderate
Metformin + Acetazolamide,Major
Metformin + Acetazolamide,Major
Prednisone + Acetazolamide,Moderate
Alendronic acid + Famotidine,Minor
Alendronic acid + Famotidine,Minor
Famotidine + Cefuroxime,Moderate
Ciprofloxacin + Famotidine,Moderate
Duloxetine + Famotidine,Minor
Duloxetine + Famotidine,Minor
Epirubicin + Famotidine,Moderate
Fluoxetine + Famotidine,Moderate
Famotidine + Ibuprofen,Minor
Famotidine + Ibuprofen,Minor
Leuprolide + Famotidine,Moderate
Naproxen + Famotidine,Moderate
Famotidine + Ofloxacin,Moderate
Ondansetron + Famotidine,Moderate
Propofol + Famotidine,Moderate
Famotidine + Ribociclib,Moderate
Famotidine + Salmeterol,Moderate
Famotidine + Sevoflurane,Moderate
Famotidine + Sulfamethoxazole,Minor
Famotidine + Sulfamethoxazole,Minor
Tacrolimus + Famotidine,Moderate
Tamoxifen + Famotidine,Moderate
Alendronic acid + Ranitidine,Minor
Alendronic acid + Ranitidine,Minor
Ranitidine + Cefuroxime,Moderate
Duloxetine + Ranitidine,Minor
Duloxetine + Ranitidine,Minor
Ranitidine + Ibuprofen,Minor
Ranitidine + Ibuprofen,Minor
Metformin + Ranitidine,Moderate
Midazolam + Ranitidine,Moderate
Naproxen + Ranitidine,Moderate
Rocuronium + Ranitidine,Minor
Rocuronium + Ranitidine,Minor
Cefuroxime + Rabeprazole,Moderate
Chlorothiazide + Rabeprazole,Moderate
Clopidogrel + Rabeprazole,Major
Clopidogrel + Rabeprazole,Major
Duloxetine + Rabeprazole,Minor
Duloxetine + Rabeprazole,Minor
Hydrochlorothiazide + Rabeprazole,Moderate
Naproxen + Rabeprazole,Moderate
Tacrolimus + Rabeprazole,Moderate
Formoterol + Budesonide,Minor
Formoterol + Budesonide,Minor
Epinephrine + Formoterol,Moderate
Hydrocortisone + Formoterol,Minor
Hydrocortisone + Formoterol,Minor
Metformin + Formoterol,Moderate
Ondansetron + Formoterol,Moderate
Prednisone + Formoterol,Minor
Prednisone + Formoterol,Minor
Metformin + Pseudoephedrine,Moderate
Doxycycline + Amoxicillin,Moderate
Doxycycline + Ampicillin,Moderate
Doxycycline + Carbamazepine,Moderate
Doxycycline + Chlorothiazide,Minor
Doxycycline + Chlorothiazide,Minor
Doxycycline + Glycerin,Minor
Doxycycline + Glycerin,Minor
Doxycycline + Hydrochlorothiazide,Minor
Doxycycline + Hydrochlorothiazide,Minor
Doxycycline + Piperacillin,Moderate
Doxycycline + Rocuronium,Moderate
Ketorolac + Budesonide,Moderate
Ketorolac + Hydrocortisone,Moderate
Metformin + Ketorolac,Moderate
Ketorolac + Prednisone,Moderate
Ketorolac + Vancomycin,Moderate
Budesonide + Clostridium tetani toxoid antigen (formaldehyde inactivated),Moderate
Hydrocortisone + Clostridium tetani toxoid antigen (formaldehyde inactivated),Moderate
Prednisone + Clostridium tetani toxoid antigen (formaldehyde inactivated),Moderate
Nifedipine + Budesonide,Moderate
Hydrocortisone + Nifedipine,Moderate
Metformin + Nifedipine,Moderate
Prednisone + Nifedipine,Moderate
Simvastatin + Nifedipine,Moderate
Adalimumab + Budesonide,Major
Adalimumab + Budesonide,Major
Adalimumab + Hydrocortisone,Major
Adalimumab + Hydrocortisone,Major
Adalimumab + Prednisone,Major
Adalimumab + Prednisone,Major
Adalimumab + Simvastatin,Moderate
Adenosine + Ondansetron,Moderate
Methylphenidate + Bupropion,Major
Methylphenidate + Bupropion,Major
Methylphenidate + Ephedrine,Moderate
Methylphenidate + Epinephrine,Moderate
Methylphenidate + Polyethylene glycol (3350 with electrolytes),Moderate
Simvastatin + Trastuzumab emtansine,Moderate
Acetohexamide + Epinephrine,Moderate
Epinephrine + Albiglutide,Moderate
Epinephrine + Salbutamol,Moderate
Epinephrine + Alogliptin,Moderate
Epinephrine + Amisulpride,Moderate
Amitriptyline + Epinephrine,Major
Amitriptyline + Epinephrine,Major
Amoxapine + Epinephrine,Major
Amoxapine + Epinephrine,Major
Amphetamine + Epinephrine,Moderate
Epinephrine + Arformoterol,Moderate
Epinephrine + Aripiprazole,Moderate
Epinephrine + Asenapine,Moderate
Atenolol + Epinephrine,Moderate
Atomoxetine + Epinephrine,Moderate
Epinephrine + Benzphetamine,Moderate
Betaxolol + Epinephrine,Moderate
Betaxolol (ophthalmic) + Epinephrine,Moderate
Bisoprolol + Epinephrine,Moderate
Epinephrine + Brexpiprazole,Moderate
Epinephrine + Canagliflozin,Moderate
Carteolol + Epinephrine,Major
Carteolol + Epinephrine,Major
Carteolol (ophthalmic) + Epinephrine,Major
Carteolol (ophthalmic) + Epinephrine,Major
Epinephrine + Carvedilol,Major
Epinephrine + Carvedilol,Major
Chlorpromazine + Epinephrine,Moderate
Epinephrine + Chlorpropamide,Moderate
Epinephrine + Clomipramine,Major
Epinephrine + Clomipramine,Major
Clozapine + Epinephrine,Moderate
Epinephrine + Cocaine (nasal),Major
Epinephrine + Cocaine (nasal),Major
Epinephrine + Cocaine (topical),Major
Epinephrine + Cocaine (topical),Major
Epinephrine + Dapagliflozin,Moderate
Epinephrine + Deserpidine,Moderate
Epinephrine + Desflurane,Major
Epinephrine + Desflurane,Major
Epinephrine + Desipramine,Major
Epinephrine + Desipramine,Major
Desmopressin + Epinephrine,Moderate
Epinephrine + Desvenlafaxine,Moderate
Epinephrine + Dexmethylphenidate,Moderate
Epinephrine + Dextroamphetamine,Moderate
Epinephrine + Diethylpropion,Moderate
Epinephrine + Digitoxin,Moderate
Digoxin + Epinephrine,Moderate
Dihydroergotamine + Epinephrine,Major
Dihydroergotamine + Epinephrine,Major
Doxapram + Epinephrine,Moderate
Epinephrine + Doxepin,Major
Epinephrine + Doxepin,Major
Droperidol + Epinephrine,Moderate
Epinephrine + Droxidopa,Moderate
Epinephrine + Dulaglutide,Moderate
Duloxetine + Epinephrine,Moderate
Epinephrine + Empagliflozin,Moderate
Enflurane + Epinephrine,Major
Enflurane + Epinephrine,Major
Entacapone + Epinephrine,Moderate
Epinephrine + Epoprostenol,Moderate
Epinephrine + Ergometrine,Major
Epinephrine + Ergometrine,Major
Epinephrine + Ergotamine,Major
Epinephrine + Ergotamine,Major
Epinephrine + Ertugliflozin,Moderate
Esmolol + Epinephrine,Moderate
Epinephrine + Exenatide,Moderate
Fluphenazine + Epinephrine,Moderate
Glimepiride + Epinephrine,Moderate
Epinephrine + Glipizide,Moderate
Epinephrine + Glyburide,Moderate
Guanadrel + Epinephrine,Moderate
Epinephrine + Guanethidine,Moderate
Haloperidol + Epinephrine,Moderate
Epinephrine + Halothane,Major
Epinephrine + Halothane,Major
Epinephrine + Iloperidone,Moderate
Epinephrine + Iloprost,Moderate
Imipramine + Epinephrine,Major
Imipramine + Epinephrine,Major
Epinephrine + Indacaterol,Moderate
Insulin human + Epinephrine,Moderate
Epinephrine + Insulin aspart (aspart),Moderate
Epinephrine + Insulin aspart (aspart protamine),Moderate
Epinephrine + Insulin degludec,Moderate
Epinephrine + Insulin detemir,Moderate
Insulin glargine + Epinephrine,Moderate
Epinephrine + Insulin glulisine,Moderate
"Insulin human (inhalation, rapid acting) + Epinephrine",Moderate
Insulin human (isophane) + Epinephrine,Moderate
Insulin lispro + Epinephrine,Moderate
Insulin lispro (protamine) + Epinephrine,Moderate
Insulin human (regular) + Epinephrine,Moderate
Insulin human (zinc) + Epinephrine,Moderate
Insulin human (zinc extended) + Epinephrine,Moderate
Epinephrine + Isocarboxazid,Moderate
Isoetharine + Epinephrine,Moderate
Epinephrine + Isoflurane,Major
Epinephrine + Isoflurane,Major
Epinephrine + Isoprenaline,Moderate
Labetalol + Epinephrine,Major
Labetalol + Epinephrine,Major
Epinephrine + Levosalbutamol,Moderate
Epinephrine + Levobetaxolol (ophthalmic),Moderate
Epinephrine + Levobunolol (ophthalmic),Major
Epinephrine + Levobunolol (ophthalmic),Major
Epinephrine + Levodopa,Moderate
Epinephrine + Levomilnacipran,Moderate
Levothyroxine + Epinephrine,Moderate
Epinephrine + Linagliptin,Moderate
Linezolid + Epinephrine,Major
Linezolid + Epinephrine,Major
Liothyronine + Epinephrine,Moderate
Epinephrine + Liraglutide,Moderate
Epinephrine + Lisdexamfetamine,Moderate
Epinephrine + Lithium carbonate,Minor
Epinephrine + Lithium carbonate,Minor
Epinephrine + Lixisenatide,Moderate
Loxapine + Epinephrine,Moderate
Epinephrine + Lumateperone,Moderate
Epinephrine + Lurasidone,Moderate
Mazindol + Epinephrine,Moderate
Mecamylamine + Epinephrine,Moderate
Epinephrine + Mesoridazine,Moderate
Epinephrine + Orciprenaline,Moderate
Metformin + Epinephrine,Moderate
Epinephrine + Metamfetamine,Moderate
Epinephrine + Methdilazine,Moderate
Epinephrine + Methotrimeprazine,Moderate
Epinephrine + Methoxyflurane,Major
Epinephrine + Methoxyflurane,Major
Epinephrine + Methyldopa,Moderate
Epinephrine + Methylene blue,Moderate
Methylergometrine + Epinephrine,Major
Methylergometrine + Epinephrine,Major
Methysergide + Epinephrine,Major
Methysergide + Epinephrine,Major
Epinephrine + Metipranolol (ophthalmic),Major
Epinephrine + Metipranolol (ophthalmic),Major
Metoprolol + Epinephrine,Moderate
Midodrine + Epinephrine,Moderate
Miglitol + Epinephrine,Moderate
Epinephrine + Milnacipran,Moderate
Epinephrine + Molindone,Moderate
Epinephrine + Nadolol,Major
Epinephrine + Nadolol,Major
Epinephrine + Nateglinide,Moderate
Epinephrine + Nebivolol,Moderate
Nortriptyline + Epinephrine,Major
Nortriptyline + Epinephrine,Major
Olanzapine + Epinephrine,Moderate
Epinephrine + Olodaterol,Moderate
Epinephrine + Opicapone,Moderate
Oxytocin + Epinephrine,Moderate
Epinephrine + Ozanimod,Moderate
Epinephrine + Paliperidone,Moderate
Epinephrine + Penbutolol,Major
Epinephrine + Penbutolol,Major
Epinephrine + Perphenazine,Moderate
Epinephrine + Phendimetrazine,Moderate
Epinephrine + Phenelzine,Moderate
Phentermine + Epinephrine,Moderate
Phenylpropanolamine + Epinephrine,Moderate
Epinephrine + Pimozide,Moderate
Epinephrine + Pindolol,Major
Epinephrine + Pindolol,Major
Epinephrine + Pioglitazone,Moderate
Epinephrine + Pirbuterol,Moderate
Epinephrine + Pramlintide,Moderate
Epinephrine + Procarbazine,Moderate
Prochlorperazine + Epinephrine,Moderate
Promazine + Epinephrine,Moderate
Epinephrine + Promethazine,Moderate
Epinephrine + Propiomazine,Moderate
Propranolol + Epinephrine,Major
Propranolol + Epinephrine,Major
Protriptyline + Epinephrine,Major
Protriptyline + Epinephrine,Major
Epinephrine + Quetiapine,Moderate
Epinephrine + Racepinephrine,Moderate
Epinephrine + Rasagiline,Moderate
Epinephrine + Repaglinide,Moderate
Reserpine + Epinephrine,Moderate
Epinephrine + Risperidone,Moderate
Epinephrine + Ritodrine,Moderate
Rosiglitazone + Epinephrine,Moderate
Epinephrine + Salmeterol,Moderate
Epinephrine + Saxagliptin,Moderate
Epinephrine + Selegiline,Moderate
Epinephrine + Selexipag,Moderate
Epinephrine + Semaglutide,Moderate
Epinephrine + Sevoflurane,Major
Epinephrine + Sevoflurane,Major
Epinephrine + Sibutramine,Moderate
Epinephrine + Sitagliptin,Moderate
Epinephrine + Solriamfetol,Moderate
Sotalol + Epinephrine,Major
Sotalol + Epinephrine,Major
Epinephrine + Tapentadol,Moderate
Epinephrine + Terbutaline,Moderate
Thiethylperazine + Epinephrine,Moderate
Epinephrine + Thioridazine,Moderate
Epinephrine + Thiothixene,Moderate
"Epinephrine + Thyroid, porcine",Moderate
Timolol + Epinephrine,Major
Timolol + Epinephrine,Major
Timolol (ophthalmic) + Epinephrine,Major
Timolol (ophthalmic) + Epinephrine,Major
Epinephrine + Tolazamide,Moderate
Epinephrine + Tolbutamide,Moderate
Tolcapone + Epinephrine,Moderate
Epinephrine + Tranylcypromine,Moderate
Treprostinil + Epinephrine,Moderate
Epinephrine + Trifluoperazine,Moderate
Triflupromazine + Epinephrine,Moderate
Epinephrine + Alimemazine,Moderate
Epinephrine + Trimipramine,Major
Epinephrine + Trimipramine,Major
Troglitazone + Epinephrine,Moderate
Vasopressin + Epinephrine,Moderate
Venlafaxine + Epinephrine,Moderate
Ziprasidone + Epinephrine,Moderate
Acetohexamide + Ibuprofen,Moderate
Aprepitant + Ibuprofen,Moderate
Acetylsalicylic acid + Ibuprofen,Major
Acetylsalicylic acid + Ibuprofen,Major
Balsalazide + Ibuprofen,Moderate
Betamethasone + Ibuprofen,Moderate
Ibuprofen + Budesonide,Moderate
Chlorpropamide + Ibuprofen,Moderate
Cimetidine + Ibuprofen,Minor
Cimetidine + Ibuprofen,Minor
Ibuprofen + Dexamethasone,Moderate
Ibuprofen + Dexfenfluramine,Moderate
Ibuprofen + Exenatide,Moderate
Fenfluramine + Ibuprofen,Moderate
Glimepiride + Ibuprofen,Moderate
Ibuprofen + Glipizide,Moderate
Glyburide + Ibuprofen,Moderate
Hydrocortisone + Ibuprofen,Moderate
Ibuprofen + Kanamycin,Moderate
Ibuprofen + Levofloxacin,Moderate
Ibuprofen + Linaclotide,Minor
Ibuprofen + Linaclotide,Minor
Ibuprofen + Magnesium hydroxide,Minor
Ibuprofen + Magnesium hydroxide,Minor
Mesalazine + Ibuprofen,Moderate
Metformin + Ibuprofen,Moderate
Naltrexone + Ibuprofen,Moderate
Nateglinide + Ibuprofen,Moderate
Nitisinone + Ibuprofen,Moderate
Nizatidine + Ibuprofen,Minor
Nizatidine + Ibuprofen,Minor
Ibuprofen + Olsalazine,Moderate
Ibuprofen + Polyethylene glycol (3350 with electrolytes),Moderate
Ibuprofen + Potassium bicarbonate,Moderate
Potassium chloride + Ibuprofen,Moderate
Ibuprofen + Potassium citrate,Moderate
Ibuprofen + Potassium gluconate,Moderate
Prednisolone + Ibuprofen,Moderate
Prednisone + Ibuprofen,Moderate
Ranitidine (bismuth citrate) + Ibuprofen,Minor
Ranitidine (bismuth citrate) + Ibuprofen,Minor
Repaglinide + Ibuprofen,Moderate
Ibuprofen + Sibutramine,Moderate
Ibuprofen + Streptomycin,Moderate
Sulfasalazine + Ibuprofen,Moderate
Tolazamide + Ibuprofen,Moderate
Ibuprofen + Tolbutamide,Moderate
Triamcinolone + Ibuprofen,Moderate
Triamcinolone (ophthalmic) + Ibuprofen,Moderate
Vancomycin + Ibuprofen,Moderate
Ethinylestradiol + Amoxicillin,Moderate
Ethinylestradiol + Budesonide,Moderate
Hydrocortisone + Ethinylestradiol,Moderate
Metformin + Ethinylestradiol,Moderate
Prednisone + Ethinylestradiol,Moderate
Vancomycin + Ethinylestradiol,Moderate
Acetohexamide + Hydrocortisone,Moderate
Hydrocortisone + Human adenovirus e serotype 4 strain cl-68578 antigen,Moderate
Hydrocortisone + Albiglutide,Moderate
Hydrocortisone + Salbutamol,Minor
Hydrocortisone + Salbutamol,Minor
Aldesleukin + Hydrocortisone,Moderate
Alefacept + Hydrocortisone,Moderate
Alemtuzumab + Hydrocortisone,Moderate
Hydrocortisone + Aliskiren,Moderate
Hydrocortisone + Alogliptin,Moderate
Hydrocortisone + Aluminum hydroxide,Minor
Hydrocortisone + Aluminum hydroxide,Minor
Hydrocortisone + Ambenonium,Moderate
Hydrocortisone + Amifampridine,Moderate
Amiloride + Hydrocortisone,Moderate
Hydrocortisone + Aminophylline,Moderate
Hydrocortisone + Amiodarone,Major
Hydrocortisone + Amiodarone,Major
Hydrocortisone + Amisulpride,Moderate
Amlodipine + Hydrocortisone,Moderate
Hydrocortisone + Amobarbital,Moderate
Amphotericin B + Hydrocortisone,Moderate
Amphotericin B (cholesteryl sulfate) + Hydrocortisone,Moderate
Amphotericin B (lipid complex) + Hydrocortisone,Moderate
Amphotericin B (liposomal) + Hydrocortisone,Moderate
Amprenavir + Hydrocortisone,Moderate
Anakinra + Hydrocortisone,Moderate
Hydrocortisone + Anisindione,Moderate
Hydrocortisone + Anthrax vaccine,Moderate
Hydrocortisone + Apalutamide,Moderate
Aprepitant + Hydrocortisone,Moderate
Hydrocortisone + Arformoterol,Minor
Hydrocortisone + Arformoterol,Minor
Hydrocortisone + Armodafinil,Minor
Hydrocortisone + Armodafinil,Minor
Hydrocortisone + Arsenic trioxide,Major
Hydrocortisone + Arsenic trioxide,Major
Hydrocortisone + Asparaginase Erwinia chrysanthemi,Moderate
Asparaginase Escherichia coli + Hydrocortisone,Moderate
Hydrocortisone + Acetylsalicylic acid,Moderate
Hydrocortisone + Atazanavir,Moderate
Atenolol + Hydrocortisone,Moderate
Hydrocortisone + Atezolizumab,Moderate
Hydrocortisone + Azilsartan medoxomil,Moderate
Hydrocortisone + Baricitinib,Major
Hydrocortisone + Baricitinib,Major
Hydrocortisone + Bacillus calmette-guerin substrain tice live antigen,Major
